OT Command	Page	Error Condition
OT GetBLOB	62	FailOnNoItem option set
OT GetBLOB	62	an item with the given tag exists and has any other type
OT GetBoolean	63	invalid object handle
OT GetBoolean	63	FailOnNoItem option set
OT GetBoolean	63	an item with the given tag exists and has any other type
OT GetDate	64	invalid object handle
OT GetDate	64	FailOnNoItem option set
OT GetDate	64	an item with the given tag exists and has any other type
OT GetLong	65	invalid object handle
OT GetLong	65	FailOnNoItem option set
OT GetLong	65	an item with the given tag exists and has any other type
OT GetNewBLOB	66	invalid object handle
OT GetNewBLOB	66	FailOnNoItem option set
OT GetNewBLOB	66	an item with the given tag exists and has any other type
OT GetObject	67	invalid object handle
OT GetObject	67	an item with the given tag exists and has any other type
OT GetPicture	68	invalid object handle
OT GetPicture	68	FailOnNoItem option set
OT GetPicture	68	an item with the given tag exists and has any other type
OT GetPointer	69	invalid object handle
OT GetPointer	69	FailOnNoItem option set
OT GetPointer	69	an item with the given tag exists and has any other type
OT GetReal	70	invalid object handle
OT GetReal	70	FailOnNoItem option set
OT GetReal	70	an item with the given tag exists and has any other type
OT GetRecord	71	object is not a valid object handle
OT GetRecord	71	there is no current record for the item’s table or the current record is locked
OT GetRecordTable	72	the object is not a valid object handle, or no item in object has the given tag, zero is returned
OT GetRecordTable	72	an item with the given tag exists and has any other type, zero is returned
OT GetString	73	invalid object handle
OT GetString	73	FailOnNoItem option set
OT GetString	73	an item with the given tag exists and has any other type
OT GetText	74	invalid object handle
OT GetText	74	FailOnNoItem option set
OT GetText	74	an item with the given tag exists and has any other type
OT GetTime	75	invalid object handle
OT GetTime	75	FailOnNoItem option set
OT GetTime	75	an item with the given tag exists and has any other type
OT GetVariable	76	inObject is not a valid object handle
OT GetVariable	76	an item with the given tag exists and has any other type
OT GetVariable	76	the object is not a valid object handle
OT GetVariable	76	an item with the given tag exists and has a type other than the type of the destination variable
OT DeleteElement	78	inObject is not a valid object handle, if no item in the object has the given tag, or if the item’s type is not an array type
OT FindInArray	79	inObject is not a valid object handle, if no item in the object has the given tag, or if the item’s type is not an array type
OT InsertElement	80	inObject is not a valid object handle, if no item in the object has the given tag, or if the item’s type is not an array type
OT ResizeArray	81	inObject is not a valid object handle, if no item in the object has the given tag, or if the item’s type is not an array type
OT SizeOfArray	82	inObject is not a valid object handle, if no item in the object has the given tag, or if the item’s type is not an array type
OT SortArrays	83	inObject is not a valid object handle, if no item in the object has the given tag, if the item’s type is not a sortable array type, if all of the arrays do not have the same number of elements, or if a direction is not valid
OT ItemCount	86	invalid object handle
OT ItemCount	86	non-empty inTag passed (reserved parameter must be empty string)
OT ObjectSize	87	invalid object handle
OT GetAllNamedProperties	89	the object is not a valid object handle, inTag is non-empty and does not reference an embedded object, or if the arrays are not of the type specified, arrays are cleared
OT GetAllProperties	90	the object is not a valid object handle or if the arrays are not of the type specified, arrays are cleared
OT GetItemProperties	91	inObject is not a valid object handle or inIndex is out of range
OT GetNamedProperties	92	invalid object handle
OT IsEmbedded	93	invalid object handle
OT ItemExists	94	invalid object handle
OT ItemType	95	invalid object handle
OT CompareItems	97	inSourceObject or inCompareObject is not a valid object handle, if either of the two items do not exist, or if the two items do not have the same type
OT RenameItem	98	the object handle is invalid, or if the item does not exist, or if an existing item has the same name as inNewTag
OT CopyItem	99	either object handle is not valid, or if the source item does not exist, or if the source item and destination item do not have the same type
OT DeleteItem	100	invalid object handle
OT ObjectToBLOB	103	the serialized object contains BLOB or Time arrays and the version of 4D is not v14 or later
OT ObjectToBLOB	103	inObject is not a valid object handle, if ioBLOB is not a valid BLOB, or if memory cannot be allocated to copy the object
OT ObjectToNewBLOB	104	invalid object handle
